,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
Capacite,0.4416926902243427,-0.20938699918569748,-0.4371685505652627,0.14300776604074344,0.16189776922550864,0.7176953973635493,-0.0779942881021227,-0.05510863130598294,0.04286385893550129,0.00213739595880073,-8.861854986510609e-25
prix_billet_moyen,0.7924996473165008,0.13762334978049423,-0.2885737539929955,-0.21312005555967084,-0.003731987781925352,-0.241516230495543,-0.24159620230561357,0.08479807175243365,0.3100488221819018,0.08389193381298629,5.4072015642071946e-24
temperature,-0.5525897908869597,-0.24825120372775042,0.34235896703050384,-0.09859952986787576,-0.5728581602561541,0.30400969400555655,-0.13831279662673437,0.23370438931732246,0.11904754653611684,0.018382294294190173,2.2527245491060913e-24
Recette_Moyenne,0.8299992489110622,0.1806073158354782,-0.15564626438381524,0.02349585690238395,-0.11626167145186483,-0.039700119263850184,-0.2116440800477579,0.33705244070740237,-0.2876948212295572,-0.014426018787493859,-2.7183670543232593e-25
isDerby,0.7783193385934598,0.20663935300742972,0.5766471187600382,0.007749563763112654,0.026434915543138638,0.11542358649197423,0.007712530978785978,-0.08510121974103589,0.018959999787021158,-0.004131486498408205,-7.90253409577939e-09
is_important_match,0.010585888424198971,-0.01955630078098473,0.029868839058695723,0.972959096730102,-0.09959657978800197,-0.14121392945002778,-0.14054142411365333,0.0013758490939190457,0.07107051837552918,0.007791889226212789,7.585977455041696e-25
is_top_team_home,0.5594096103507457,-0.44729476669047596,-0.07476870855375609,0.1088567593864743,-0.07752626153003635,-0.03805133622270758,0.6493696977423085,0.19492003331391825,0.07190396176554556,0.0027069852362878602,3.072274855897897e-24
est_weekend,-0.4272245952995432,0.8261393904749198,0.05540468552179904,0.0934373297150281,0.15121641419402682,0.1530024614372239,0.18092843024198632,0.11268777695796905,-0.04439556352689058,0.1795948627329693,1.0478439907414133e-23
mois,-0.3219695115757416,-0.539517498146803,0.33858430068377326,0.016830402249886977,0.6287072395242351,-0.0008414094873941236,-0.14446521410644306,0.27195634991445206,0.05450329738849471,-0.004666676222650823,-1.6358152147541887e-25
jour_semaine,-0.21171363758616696,0.9241855387157475,-0.07898455767084575,0.02916853157344801,0.08647698455610413,0.077707395563035,0.0843083933985171,0.16224834181237652,0.15107079921857416,-0.16419491120428636,-9.45733501115394e-24
derby_top_team,0.7783193385934596,0.2066393530074299,0.5766471187600379,0.00774956376311274,0.02643491554313874,0.11542358649197426,0.007712530978785648,-0.08510121974103604,0.018959999787021158,-0.0041314864984087355,7.902534095779392e-09
