Competition;saison;Stade;Ville;Capacite;Equipe_Home;Equipe_Away;Score;isDerby;PhaseImportance;is_important_match;is_top_team_home;affluence_moyenne;date_Match;heure_match;prix_billet_moyen;temperature;Recette_Moyenne
CAN;2025;Prince Moulay Abdellah Stadium;Rabat;68700;Morocco;Comoros;2–0;FALSE;1;TRUE;TRUE;60180;21/12/2025;20:00;500;13.1;30090000
CAN;2025;Mohammed V Stadium;Casablanca;67000;Mali;Zambia;1–1;FALSE;1;FALSE;TRUE;10124;22/12/2025;15:00;500;13.5;5062000
CAN;2025;Mohammed V Stadium;Casablanca;67000;Zambia;Comoros;0–0;FALSE;1;FALSE;FALSE;7829;26/12/2025;18:30;500;12.2;3914500
CAN;2025;Prince Moulay Abdellah Stadium;Rabat;68700;Morocco;Mali;1–1;TRUE;1;TRUE;TRUE;63844;26/12/2025;21:00;500;12.5;31922000
CAN;2025;Prince Moulay Abdellah Stadium;Rabat;68700;Zambia;Morocco;0–3;FALSE;1;TRUE;FALSE;62532;29/12/2025;20:00;500;13.0;31266000
CAN;2025;Mohammed V Stadium;Casablanca;67000;Comoros;Mali;0–0;FALSE;1;FALSE;FALSE;8842;29/12/2025;20:00;500;13.3;4421000
CAN;2025;Marrakesh Stadium;Marrakesh;45240;South Africa;Angola;2–1;FALSE;1;FALSE;TRUE;4013;22/12/2025;18:00;500;11.7;2006500
CAN;2025;Adrar Stadium;Agadir;45480;Egypt;Zimbabwe;2–1;FALSE;1;FALSE;TRUE;28199;22/12/2025;21:00;500;16.1;14099500
CAN;2025;Marrakesh Stadium;Marrakesh;45240;Angola;Zimbabwe;1–1;FALSE;1;FALSE;FALSE;5110;26/12/2025;13:30;500;10.3;2555000
CAN;2025;Adrar Stadium;Agadir;45480;Egypt;South Africa;1–0;TRUE;1;TRUE;TRUE;40219;26/12/2025;16:00;500;12.7;20109500
CAN;2025;Adrar Stadium;Agadir;45480;Angola;Egypt;0–0;FALSE;1;FALSE;FALSE;16090;29/12/2025;17:00;500;13.2;8045000
CAN;2025;Marrakesh Stadium;Marrakesh;45240;Zimbabwe;South Africa;2–3;FALSE;1;FALSE;FALSE;9235;29/12/2025;17:00;500;11.1;4617500
CAN;2025;Fez Stadium;Fez;45000;Nigeria;Tanzania;2–1;FALSE;1;FALSE;TRUE;11444;23/12/2025;18:30;500;10.4;5722000
CAN;2025;Rabat Olympic Stadium;Rabat;21000;Tunisia;Uganda;3–1;FALSE;1;FALSE;TRUE;13387;23/12/2025;21:00;500;13.4;6693500
CAN;2025;Al Medina Stadium;Rabat;18000;Uganda;Tanzania;1–1;FALSE;1;FALSE;FALSE;10540;27/12/2025;18:30;500;12.9;5270000
CAN;2025;Fez Stadium;Fez;45000;Nigeria;Tunisia;3–2;TRUE;1;FALSE;TRUE;25544;27/12/2025;21:00;500;8.8;12772000
CAN;2025;Fez Stadium;Fez;45000;Uganda;Nigeria;1–3;FALSE;1;FALSE;FALSE;11545;30/12/2025;17:00;500;10.0;5772500
CAN;2025;Rabat Olympic Stadium;Rabat;21000;Tanzania;Tunisia;1–1;FALSE;1;FALSE;FALSE;15205;30/12/2025;17:00;500;13.0;7602500
CAN;2025;Al Medina Stadium;Rabat;18000;DR Congo;Benin;1–0;FALSE;1;FALSE;FALSE;13073;23/12/2025;13:30;500;13.4;6536500
CAN;2025;Tangier Grand Stadium;Tangier;75600;Senegal;Botswana;3–0;FALSE;1;FALSE;TRUE;18591;23/12/2025;16:00;500;11.4;9295500
CAN;2025;Rabat Olympic Stadium;Rabat;21000;Benin;Botswana;1–0;FALSE;1;FALSE;FALSE;7462;27/12/2025;13:30;500;12.8;3731000
CAN;2025;Tangier Grand Stadium;Tangier;75600;Senegal;DR Congo;1–1;FALSE;1;FALSE;TRUE;41672;27/12/2025;16:00;500;11.1;20836000
CAN;2025;Tangier Grand Stadium;Tangier;75600;Benin;Senegal;0–3;FALSE;1;FALSE;FALSE;26707;30/12/2025;20:00;500;11.3;13353500
CAN;2025;Al Medina Stadium;Rabat;18000;Botswana;DR Congo;0–3;FALSE;1;FALSE;FALSE;12569;30/12/2025;20:00;500;13.0;6284500
CAN;2025;Mohammed V Stadium;Casablanca;67000;Burkina Faso;Equatorial Guinea;2–1;FALSE;1;FALSE;FALSE;10267;24/12/2025;13:30;500;13.6;5133500
CAN;2025;Moulay Hassan Stadium;Rabat;22000;Algeria;Sudan;3–0;FALSE;1;FALSE;TRUE;16115;24/12/2025;16:00;500;13.5;8057500
CAN;2025;Mohammed V Stadium;Casablanca;67000;Equatorial Guinea;Sudan;0–1;FALSE;1;FALSE;FALSE;8671;28/12/2025;16:00;500;12.7;4335500
CAN;2025;Moulay Hassan Stadium;Rabat;22000;Algeria;Burkina Faso;1–0;FALSE;1;TRUE;TRUE;18522;28/12/2025;18:30;500;12.5;9261000
CAN;2025;Moulay Hassan Stadium;Rabat;22000;Equatorial Guinea;Algeria;1–3;FALSE;1;FALSE;FALSE;15187;31/12/2025;17:00;500;15.1;7593500
CAN;2025;Mohammed V Stadium;Casablanca;67000;Sudan;Burkina Faso;0–2;FALSE;1;FALSE;FALSE;10084;31/12/2025;17:00;500;15.2;5042000
CAN;2025;Marrakesh Stadium;Marrakesh;45240;Ivory Coast;Mozambique;1–0;FALSE;1;FALSE;TRUE;13041;24/12/2025;18:30;500;11.7;6520500
CAN;2025;Adrar Stadium;Agadir;45480;Cameroon;Gabon;1–0;TRUE;1;FALSE;TRUE;35200;24/12/2025;21:00;500;13.6;17600000
CAN;2025;Adrar Stadium;Agadir;45480;Gabon;Mozambique;2–3;FALSE;1;FALSE;TRUE;9796;28/12/2025;13:30;500;14.0;4898000
CAN;2025;Marrakesh Stadium;Marrakesh;45240;Ivory Coast;Cameroon;1–1;TRUE;1;FALSE;TRUE;35165;28/12/2025;21:00;500;10.8;17582500
CAN;2025;Marrakesh Stadium;Marrakesh;45240;Gabon;Ivory Coast;2–3;TRUE;1;FALSE;TRUE;20833;31/12/2025;20:00;500;13.5;10416500
CAN;2025;Adrar Stadium;Agadir;45480;Mozambique;Cameroon;1–2;FALSE;1;FALSE;FALSE;13093;31/12/2025;20:00;500;15.6;6546500
CAN;2025;Tangier Grand Stadium;Tangier;75600;Senegal;Sudan;3–1;FALSE;2;FALSE;TRUE;30045;03/01/2026;17:00;500;14.2;15022500
CAN;2025;Mohammed V Stadium;Casablanca;67000;Mali;Tunisia;1–1(a.e.t.);TRUE;2;FALSE;TRUE;41982;03/01/2026;20:00;500;15.7;20991000
CAN;2025;Prince Moulay Abdellah Stadium;Rabat;68700;Morocco;Tanzania;1–0;FALSE;2;TRUE;TRUE;63894;04/01/2026;17:00;500;15.2;31947000
CAN;2025;Al Medina Stadium;Rabat;18000;South Africa;Cameroon;1–2;TRUE;2;FALSE;TRUE;14127;04/01/2026;20:00;500;15.3;7063500
CAN;2025;Adrar Stadium;Agadir;45480;Egypt;Benin;3–1(a.e.t.);FALSE;2;FALSE;TRUE;20191;05/01/2026;17:00;500;15.5;10095500
CAN;2025;Fez Stadium;Fez;45000;Nigeria;Mozambique;4–0;FALSE;2;FALSE;TRUE;14593;05/01/2026;20:00;500;11.7;7296500
CAN;2025;Moulay Hassan Stadium;Rabat;22000;Algeria;DR Congo;1–0(a.e.t.);FALSE;2;TRUE;TRUE;18837;06/01/2026;17:00;500;11.7;9418500
CAN;2025;Marrakesh Stadium;Marrakesh;45240;Ivory Coast;Burkina Faso;3–0;FALSE;2;FALSE;TRUE;24019;06/01/2026;20:00;500;9.2;12009500
CAN;2025;Tangier Grand Stadium;Tangier;75600;Mali;Senegal;0–1;TRUE;3;FALSE;TRUE;32385;09/01/2026;17:00;500;12.9;16192500
CAN;2025;Prince Moulay Abdellah Stadium;Rabat;68700;Cameroon;Morocco;0–2;TRUE;3;TRUE;TRUE;64178;09/01/2026;20:00;500;12.2;32089000
CAN;2025;Marrakesh Stadium;Marrakesh;45240;Algeria;Nigeria;0–2;TRUE;3;FALSE;TRUE;32452;10/01/2026;17:00;500;10.1;16226000
CAN;2025;Adrar Stadium;Agadir;45480;Egypt;Ivory Coast;3–2;TRUE;3;FALSE;TRUE;31213;10/01/2026;20:00;500;13.0;15606500
CAN;2025;Tangier Grand Stadium;Tangier;75600;Senegal;Egypt;SF1;TRUE;4;TRUE;TRUE;0;14/01/2026;18:00;500;;0
CAN;2025;Prince Moulay Abdellah Stadium;Rabat;68700;Nigeria;Morocco;SF2;FALSE;4;TRUE;TRUE;0;14/01/2026;21:00;500;;0
CAN;2025;Mohammed V Stadium;Casablanca;67000;Loser SF1;Loser SF2;v;FALSE;3;FALSE;FALSE;0;17/01/2026;17:00;500;;0
CAN;2025;Prince Moulay Abdellah Stadium;Rabat;68700;Winner SF1;Winner SF2;v;FALSE;5;TRUE;FALSE;0;18/01/2026;20:00;500;;0
